topic, posthw1,"Question: Hi all,
We have made a minor correction to the grades from HW1. This correction could only potentially improve student grades by a few points. No one's grade went down.
exam,"Question: Hello!

We discussed that for radix sort, we should perceive elements as if they had 0s in front. i.e., if the biggest element has 5 digits, then we would perceive 2 as 00002.

Review slides contain a problem about sorting the following words alphabetically [""izzy"", ""bob"", ""alice"", ""chad"", ""milod"", ""ivy""]
In this case, would it be correct to perceive all words as if they had Zs in front? For example, ""bob"" would be ""zzbob"".

Thank you!

EDIT: I realized I should have used MSD Radix Sort here, as strings have variable length.
Answer: In fact, you cannot use LSD radix sort to sort variable-length strings for this exact reason — there is no way to ""pad"" shorter strings without potentially altering alphabetical order of the elements. Only MSD radix sort can be used to sort variable length strings. This is something that is mentioned in the lecture slides as well. For MSD radix sort, you would not pad the strings, but rather simply treat the shorter string as alphabetically first."
exam,"Question: Hello!

If we are asked to determine the space complexity of some algorithm on the final exam, should we provide the total space complexity (that includes the size of the input data structure) or only the extra space complexity? 

Thank you!
Answer: We would be clear on the exam about our expectations here"
exam,"Question: is it fair to assume this final will tend to be more concept heavy than past exams, where the focus was more on implementation and writing code?
Answer: I would not necessarily assume this. While we can’t tell you what’s on the final, it is likely that some implementation/writing code questions can appear."
exam,"Question: Hello!
When discussing ways to choose a pivot for Quick Sort, we mentioned picking a median of 3 elements. Could you please help me understand how Quick Sort would work if the median was not among the values?
The last step of Hoare Partitioning Procedure is to swap data[pivot] with data[left]. But what if there is no index that corresponds to the median of 3? Should we then choose an index corresponding to an element that is closest to the median of 3?
Thank you!
Answer: To clarify: I believe when picking the median of 3 elements was considered, the median being referred to was that of those specific 3 elements, not of the list as a whole.
A key idea with quicksort is how different choices for the pivot value yield different results. The worst pivot choice is the greatest or smallest element in the list, and after partitioning results in just one element being in the right place. This leads to an inefficient recursive step, makes quicksort essentially selectionSort, and makes quicksort worst-case O(n^2) time.
The last step of the Hoare partitioning algorithm is not always very intuitive. As you increment the left index and decrement the right index, the algorithm stops when the left equals the right. This means that the partition point has been found. The last step is just to place the element at the pivot index in its appropriate position, such that everything to the left of it is less than the pivot and everything to the right is greater than the pivot. If the pivot index is left of the partition (i.e., in the “less-than” side), then you’d want to swap the left index of the array, so that it can when it’s in its new position everything is still partitioned properly.
I think the indices and the swapping can often be confusing. For me, it helps to think that at the end we have to place the pivot element at the partition point, and given the partition element is often in the leftmost index, we want to take the rightmost element of the left partition and swap the two.
I hope this helps clear up some things. Please let me know if you have any questions."
exam,"Question: On the practice exam, there was a question about the time complexity of inserting into a bad hash table that used linked list chaining in each bucket. The answer key said that if the function takes all keys to the same bucket, then insertion is O(n). I don't see why there is any reason to take the item to the back, unless they are picturing keeping the elements sorted somehow. Why can't we just add to front of LL in O(1) and then deal with the consequences in access time later? Simply adding to the back seems like O(n) for no reason. Chaining doesn't imply sorted insertion, does it? Access would still not be constant even if sorted. Thanks
Answer: Yeah, this is a good question/catch. It really depends on what we mean by insertion. Very often (basically always in any real implementation), an ""insert"" operation also functions as an ""update"" operation — not only do we insert keys, but we actually check to see if they are there first and if so update the value associated with them. That way, if we later look up a key, there will only be a single value associated with it. Assuming ""insert"" also means ""update if it already exists"", then we have to search for our element in the linked list, hence the O(n) worst case.

That said, the practice question is ambiguous about this. We would make any such assumptions clear on the exam."
exam,"Question: Hi! I was wondering if we could get our mid term cheat sheet back and if so, where could we pick it up."
exam,"Question: Hello!

In the complexity analysis for Dijkstra's algorithm, we said that the code inside the yellow rectangle is O(|V|⋅log|V|).

When I was doing this analysis by hand, I thought that the ""u ← Q.extract_min()"" operation is not log|V| each time, but rather decreases at every step. So, I counted the complexity of the yellow portion as log(1) + log(2) + ... + log(|V|) = log(1⋅2⋅...⋅|V|) = log(|V|!).

Could you please let me know if the below statement is correct? 
""Both analyses are correct because both of them provide an upper bound. However, O(|V|⋅log|V|) provides a less tight bound, and O(log(|V|!)) provides a more tight bound.""
Thank you!


 
Answer: This is a great observation. Before I go on, I'll note: this is a much more in-depth complexity analysis than we would test you on for the final exam.
You're correct to come up with the O(log V!) complexity for the orange loop (and in fact, this same logic could be extended to other parts of Dijkstra's algorithm. The ""hand wavy"" analysis shown in the slides upper bounds this number by assuming there are V elements in the heap each time an element is extracted, but as you point out, there will actually be fewer elements with each iteration.
But, where things get interesting: it turns out that log(V!) can be very precisely approximated using a function proportional to V*log(V). This is called Stirling's approximation, and it will haunt you if you go on to take 160 or some other CS/math classes. What this means is that log(V!) is actually approximately O(V log V) anyway — so either way you go about the analysis, you reach the same conclusion. There is a helpful explanation of all of this here, if you scroll down to the section titled ""Further Runtime Considerations: Repeated Minheap Insertions (or Deletions)""."
exam,"Question: hi! when will the final eview slides be posted?
Answer: I just posted them as a follow-up to @573"
exam,"Question: In the midterm, we should ""assume the standard interface.""
Are we expected to use the standard libraries accurately if we want to, say, use a priority queue in the coding section? Or is it okay to use informal but also clear ones like ""getmin""?
Answer: You're not expected to have entire library interfaces memorized, that would be crazy. As long as you use clear function names that exist for that library but perhaps under a different name, you'll be fine. For example, if some library has a function elementAt() but you call at(), it's all good! We just need to be able to understand what you're trying to do :)"
exam,"Question: We did not talk about heap sort during lectures. But I guess it's O(nlogn) for time and O(1) for space? Also, is it not stable, and why is it not (or actually stable)?
Answer: You will not be responsible for knowing anything about heap sort on the final exam as we did not talk about it in class.

That said, in essence, heap sort puts all elements in a heap, then removes them one at a time—the removed elements will be in sorted order. For n elements, that's n insertions which are each O(log n) in the worst case, hence it is a O(n log n) algorithm.
Heap sort is typical done in place. In essence, the array used to represent the heap can also be used to eventually store the sorted elements. As each element is removed from the heap, a spot in the array opens up, where we place the newest element extracted from the heap.
Finally, heap sort is typically not stable, because inserting then removing elements from a heap does not maintain the original order in which elements were inserted."
exam,"Question: Hello!
In the Graph Traversals lecture, we discussed that the total complexity of BFS when used with adjacency lists is O(|V| + |E|). 

When I was performing this complexity analysis on my own, I computed that the worst-case complexity is O(|V|^2). (This happens when every node is connected to every other node.)

My question is: would both answers be perceived as correct on the exam? Is it ok to leave the answer in terms of |E|, even when we know that in the worst case |E| is |V|^2.

I would appreciate if you help unconfuse me, because I thought that we use big O to represent only worst-case complexity.
Thank you!
Answer: You are correct that big O is used to provide upper bounds on complexities. You are also correct that in the worst case every vertex is connected to every other vertex resulting in O(V^2) edges, and thereby giving BFS a time complexity of O(V^2).
However, when it comes to graph operations, we typically express complexities in terms of both V and E. This gives us a more precise expression, which can be useful in analyzing an algorithm. Many graphs are sparse, meaning they will have far fewer than O(V^2) edges. Knowing that an algorithm is O(V+E) therefore gives us a better sense of how the algorithm operates on different graphs with more or fewer edges.
I'll also add: while big O does provide an upper bound on complexities, it is generally more useful to provide the tightest upper bound. Technically, BFS is also O(2^V), i.e., it can be upper bounded by an exponential function. But it's much more useful/informative to know a tighter upper bound. For the same reason, O(V+E) is a more informative upper bound than O(V^2)."
exam,"Question: Do we need to know the c++ implementation of Dijkstra’s Algorithm
Answer: I won't expect you to have any specific code memorized"
exam,"Question: Hello everyone!

We will be holding final review sessions on the following days:

Session 1: Tuesday, April 29th from 3:00 to 5:00 PM
Where: TTC Robinson 253
Session 2: Wednesday, April 30th from 3:00 to 5:00 PM
Where: TTC Robinson 253

If there are any specific topics you want to go over, let us know during the session!

Best,
Arya :)"
exam,"Question: Hi all,
Midterm exam grades are now visible on Gradescope. Overall, the class did very well!
Median: 90
Mean: 87.22
Regrade requests: As we mention on the course admin page, regrade requests for exams should be made directly through Gradescope. Regrade requests will be opened on Wednesday (3/26) morning at noon. This gives you a chance to think through any request prior to making it. Regrade requests will be closed next Wednesday (4/2) by 11:59pm, so make sure you get in any requests prior to then. Mistakes sometimes happen—if we made a mistake, don't worry, we will correct it.
Solutions: The solutions for most problems will be evident from the rubric on Gradescope. For the programming problems, I will paste example solutions below this post. There are many different ways to solve these problems—the solutions below show just one solution for each.
Cheat sheets: I will place cheat sheets in a box outside my office door (JCC 469). If you would like to collect them, please do so prior to Monday the 31st. At that point, any remaining cheat sheets will be recycled.
Best,
Milod"
exam,"Question: I'm having trouble understanding the difference between an ADT and a data structure. If lists, queues, and stacks are all data structures, what is their ADT?"
exam,"Question: At the end of the bst_intro slides, a page about a function related to ""distance"" is introduced. I didn't find this term in tree vocabulary list. Shall we suppose to know that? 
Answer: You don't need to worry about distance."
exam,"Question: void mystery(int arr[], int n) {
if (n == 0) {
return;
}
std::cout << arr[n - 1] << "" "";
mystery(arr, n - 1);
}

if n is bigger than the size of array, (i.e., index out of bound) shouldn't it throw an error? Or can we assume that all questions in exam to have valid input that won't cause any error?
Answer: @409"
exam,"Question: Hello!

Slides from lab 7 say that the following is a weird case. Could someone please help me understand why is it weird? Doesn't it exactly follow the general solution?

Thank you!
Answer: Maybe ""weird"" wasn't the right word to use, but what I meant was that this case it's a bit more difficult to understand conceptually because the original right and left rotations shown in the beginning of the slides aren't representative of what to do in this case, where there is a subtree that is affected by its parent becoming the root and the previous root becoming one of the new root's children."
exam,"Question: Want to have fun with friends while also studying for the midterm?? Play this amazing game of data structures jeopardy courtesy of Andersen!!
JEOPARDY"
exam,"Question: Are midterm slides from lab going to be posted?
Answer: Hi Sirin - I believe midterm review slides should be posted later today - will double check this.
Update -- Kathy will be posting the slides after labs today!"
exam,"Question: something i dont understand is quite how heights work for AVL trees. I understand that you calculate the heights of nodes by traversing from a given node to the farthest leaf node, but what if the given leaf node is still at a higher level? is it not a leaf because its not at the lowest level, therefore making its height not 0?
Answer: To add on to the previous answer, the height of a node is not based on distance from the root. Two nodes can have the same depth but different heights, and different leaves can be at different depths of the same tree."
exam,"Question: In implementing a queue using two stacks in the midterm practice questions, the solution throws an exception if the queue is stack 1 is empty when dequeue is called. Are we supposed to implement exceptions and errors on similar questions for the midterm, or is the base logic and code sufficient?
Answer: No, exceptions won't appear on the exam."
exam,"Question: Just to confirm, the midterm will be held during our normal CS 15 class, right?
So it will be in Barnum from 10:30-11:45 or TTC from 3:00-4:15 depending on our enrolled section.
Answer: That's right. Show up a few minutes early if you can."
exam,"Question: Hello!

When talking about complexity, we discussed that we can ignore the ""expand and copy"" operation when counting complexity. Because of that, we said that complexity of inserting at back of ArrayList is O(1) instead of O(n)

For the exam, should we also ignore the ""expand and copy"" operation? 

Thank you!
Answer: While I am not able to comment on the specifics of the midterm having not seen the exam, I will try to explain this so that you'll be able to answer any questions about it in the test.

We generally say that we can ignore the ""expand and copy"" operations when pushing an element to the back of an array list because this only happens in the worst case. The exact reasoning behind that is beyond the scope of this course, but the idea is that the copying over is only done infrequently so the typical insertion is only $O(1)$. It is of course possible for an insertion to take $O(n)$ time in the worst case scenario, but we usually say that the cost of inserting at the back of an array list is $O(1)$.

I would say as a general rule of thumb to think about inserting to the back of an array list as $O(1)$, but you should understand that there can be specific insertions that cost more. Other TAs, feel free to expand on this if I am missing anything."
exam,"Question: when writing code, will you take points off for style in the quiz? ie. if in the code we write for the midterm has 
cat == false instead of !cat
Answer: That would be so mean of us :(
Just make sure the code is understandable!"
exam,"Question: Hello! 

Could someone please confirm/disprove that in LL we change heights as follows:
- height of k1 remains unchanged
- height of k2 is decreased by 2

I am attaching a drawing that led me to this conclusion.

Thank you!
Answer: Your reasoning looks sound to me! But I will provide one clarification and one caveat:
The clarification: the height of k1 remains unchanged and the height of k2 decreases by 2 relative to before the rotation, but not relative to before the insertion. The tree on the left is the state of the tree after the new node was inserted. So, your assertions about k1 and k2's heights would be different if we were talking about the heights relative to before the insertion.
The caveat: Your reasoning is true when we perform a single right rotation in the LL case. But, there are other times when we perform a right rotation; for example, if k is a node that is out of balance due to the RL case, then we would first perform a single right rotation at k->right. In such a case, your reasoning no longer holds, because k->right was not actually out of balance, we are just performing the rotation as one part of a double rotation. So, if you were writing a ""rightRotate"" function which could be called for either a single rotation or as part of a double rotation (as is the case in the AVL lab), you would not want to hard code the heights following the rules you have provided above, because the rules do not apply in the double rotation case."
exam,"Question: In lecture, we said that ASCII encodes 128 characters using 7 bits/character, but that modern ASCII is 8 bits/character. Hypothetically, if we got asked to compare ASCII encoding to Huffman encoding on the exam, would we use the old 7-bit ASCII version or modern 8-bit version?
Answer: If it comes up, we'll make it clear which we expect."
exam,"Question: Hi all,
Solutions to the midterm review practice questions are now available. You can find them on the course schedule underneath the midterm review questions themselves, or attached here: midterm-review-solutions.pdf
Cheers,
Milod"
exam,"Question: Will we or when will we get a sample answer for the Review Sheet? I can't come up with a way to solve question 12.
Answer: Yes, these will get released today."
exam,"Question: Do we need to know the implementation / code for Binary Search, or AVL implementation?
Answer: I wouldn't quiz you on the specifics of the code in the implementations of functions you've already seen. That said, you should know how the various operations you've seen work and how to carry them out by hand on a tree. It's also not a bad idea to at least go over the code to gain some comfort with recursive functions over data structures, as we could ask you to implement other functions that follow a similar structure."
exam,"Question: Do we need to know about the finite map ADT for the midterm?
Answer: Sure, you should be familiar with them on a basic level—what they are, and typical operations comprise them."
exam,"Question: Hi, I was wondering if we needed to know circular buffers for the midterm.
Thanks.
Answer: No, it will not be on the midterm."
exam,"Question: hi! will we be able to bring a one page sheet to the midterm like in CS11?
Answer: Yes, you will be allowed a cheat sheet—I will say more on what to expect for the midterm in lecture tomorrow."
exam,"Question: Hi everyone!
Next week's lab will be focused on midterm review. Please fill out the following form so we can know what topics are most important to cover during the review session.
https://docs.google.com/forms/d/e/1FAIpQLSeXlApU5afQN3KoLk8btvDdPfKfjkwNpiHZBC6pkn3rQPc9AA/viewform "
logistics,"Question: Hello!

Could you please help me understand the date of our midterm? 
I think I read somewhere that it is March 10, but the course websites says that it's March 12. Which one is correct?

Thank you!
Answer: The course website will always have the most up-to-date information! The midterm is on March 12th"
logistics,"Question: Hi everyone,
Grades for GERP have been released. You should have received an email with the score breakdown and a summary of overall performance.

📌 Any regrade requests for GERP should be submitted on Piazza no later than Tuesday, May 6th.

Let us know if you have any questions!

Good luck on your final!

Best, 
Arya"
logistics,"Question: Hi everyone! Just wanted to send a reminder to fill out the forms below! Any and all feedback is appreciated because your feedback is super important to improving the course. Please fill out these forms before Wednesday, March 26th.
Midterm Course Feedback Form - https://tinyurl.com/sp25-cs15-midterm-eval
Midterm TA Feedback Form - https://tinyurl.com/cs15-sp25-ta-feedback 
Have a wonderful spring break!"
logistics,"Question: We did not talk about heap sort during lectures. But I guess it's O(nlogn) for time and O(1) for space? Also, is it not stable, and why is it not (or actually stable)?
Answer: You will not be responsible for knowing anything about heap sort on the final exam as we did not talk about it in class.

That said, in essence, heap sort puts all elements in a heap, then removes them one at a time—the removed elements will be in sorted order. For n elements, that's n insertions which are each O(log n) in the worst case, hence it is a O(n log n) algorithm.
Heap sort is typical done in place. In essence, the array used to represent the heap can also be used to eventually store the sorted elements. As each element is removed from the heap, a spot in the array opens up, where we place the newest element extracted from the heap.
Finally, heap sort is typically not stable, because inserting then removing elements from a heap does not maintain the original order in which elements were inserted."
logistics,"Question: Hi all! Tomorrow, Monday the 28th is the last day of office hours. We will follow the reduced Monday schedule below.
Congrats on completing gerp, and best of luck on the final!
Schedule for Monday (4/28):

  12:00:  Office Hr TAs: Olivia_Byun

  13:30:  Office Hr TAs: Geneva_Cheng

  16:30:  Office Hr TAs: Arya_Prasad

  18:00:  Office Hr TAs: Nasir_Wynruit"
logistics,"Question: We were wondering if we need an open or die function for gerp —if we're using the file traverser, we know that all the files will exist (since it has a DirNode), so it seems unneccesary/redundant.
However, we wanted to check first if excluding it is allowed, and if we do need an open or die function, what sort of error should be thrown.
Answer: You never need an open or die function, but if you want to know how the provided code handles file read errors, you should try experimenting with it! You can use chmod to set read write and execute permissions on a file. For example, if you make a new file and then run the command: chmod 000 FILENAME it will remove all permissions, so that file will always fail to open for reading and writing. Then you can see if the code catches that successfully or not."
logistics,"Question: Will there be any office hours on Monday? I know we have no class, but was wondering if there would be volunteer office hours like in the past. 
Thanks!
Answer: It's a school holiday, so no office hours. We'll have them like normal the rest of the week I believe."
logistics,"Question: Hi all,
I'll have to cancel my usual 2pm office hours today. Apologies for the inconvenience. You can reach me via Piazza/email, or catch me at my office hours on Tuesday.
Best,
Milod"
logistics,"Question: Does anyone still need a partner?
If so, check out my when2meet: https://www.when2meet.com/?30024338-QLBOo
My name is Margaux Herant and you can contact me at margaux.herant@tufts.edu
My schedule is pretty flexible, the only absolutely non-negotiable event in my schedule is on Saturdays.
EDIT: I found a partner!! Good luck to those who still don't have one."
logistics,"Question: IMPORTANT: Please make sure only one person submits Gerp each time and then adds their partner to it!

As you all get ready to start Gerp, we wanted to share with you a guide on pair programming. Pair programming is a highly valuable skill that pops up in later CS courses here at Tufts as well as in many programming jobs (even interviews). That said, it doesn’t often get taught explicitly, so we want to share this guide with you. It details some best practices and styles, as well as some anti-patterns (things that seem like they would be helpful but aren’t) to watch out for as you work.

Tuple's Pair Programming

Tools and tricks
VS Code LiveShare. This is a great tool for pair programming, whether you partner virtually or not. Many pairing guides advise having one keyboard per person (everyone’s more comfortable on their own, even if you both use the same model). This allows for that and takes it a step further: you can each view the code with your own preferred themes and fonts.
One caveat: with liveshare, it’s very easy to fall out of pair programming and into a divide & conquer workflow. 
Divide & Conquer programming is not pair programming. A good litmus test is, if both partners are typing at the same time and code is being produced, they are dividing & conquering instead of pairing.

LiveShare has features that can help with this called focus and follow. These allow a navigator to “pin” their screen to whatever the current driver is editing. We highly recommend using these features most of the time as you start pairing.

Best of luck!
Arya ◡̈ "
logistics,"Question: Hey all,
As we've discussed in class, Project 4 will be a mandatory pair programming assignment. The project goes out on Tuesday, April 8. You should have figured out your partner prior to then. 
It is essential that you and your partner have compatible schedules. You will be required to do all parts of the project together. Moreover, we will only assist students in office hours who are there with their partner. Please review all of our pair programming guidelines.
Once you have found a partner, you must fill out this form to let us know who your partner is. At the latest, please submit this form by 11:59pm on Monday, April 7. Only one form submission is needed per pair.
Finding a partner on Piazza: If you would like, you can use the follow-ups on this Piazza post to find a partner. Copy-paste the mini-form below, then fill it out, adding any entries you want. Once you find a partner, go back and replace your entry with ""Found!"" (after which an instructor will delete it). This way, the Piazza will be less cluttered and it will be easier to find homework partners because everybody who needs a partner will be looking in the same place.
BLANK FORM:
Name:
Phone number or email:
Preferred meeting times:
As an example, I have included one follow-up below that you should replicate. Make sure that you review all existing posts before adding a new one. If you see someone whose schedule is compatible with yours, reach out to them!
That's all!
I recommend that you start looking for a partner now, so that you are ready to hit the ground running once the final project goes out. Once you've found your partner, remember to fill out the Google form linked above. Thanks, all!
Cheers,
Milod"
logistics,"Question: Hi everyone!
The TA application is live! 
There are a few things to note about the process if you choose to apply (which I hope many of you do!). 
1) Please apply now! The professors will meet to choose TAs before this semester ends, and they will start looking over applications before then. Here is the link: https://www.eecs.tufts.edu/~courses/cscas/
2) Resubmitting the application form will update your existing application. You don't need to wait to apply because you don't know your schedule or grades yet. The professors have access to grades, and your schedule will almost certainly change. This means you can update the form as many times as you need to. The important things to get correct are the number of hours you want to work, what course you want to TA for, and what parts of the job you are interested in (though the last one might change as well). Put in the comments anything that is relevant, which might include preferring one course over another but being enthusiastic about both, and the like. 
3) I also want to reiterate the suggestion of meeting with a member of the staff to ask any questions you have about what it is like to TA.

4) Feel free to come to office hours, but you can also talk to your lab TAs for recommendations or get in touch with anyone else who you think can speak to your ability to be a great TA! 
I hope many of you apply and join us!! It's a really fun and rewarding experience! (ps. 15 does have the best team in the department ◡̈ )"
logistics,"Question: Hi everyone! Here are a few scheduling announcements with the Midterm and Spring Break coming up:
The Midterm is Wednesday, March 12th, so we'll use the reduced office hours schedule below from Friday, March 7th to Tuesday, March 11th.
There are no office hours starting Wednesday, March 12th, through Spring Break (3/24)
We'll use the same reduced Monday schedule below on March 24th when we come back, and we'll return to the regular schedule (@15) when Zap comes out the next day on Tuesday, March 25th
Good luck with the Midterm, and have a relaxing spring break!
Schedule for Friday (3/7):

  10:30:  Office Hr TAs: Chiara_Martello

  12:00:  Office Hr TAs: Claire_Zhang


Schedule for Sunday (3/9):

  12:00:  Office Hr TAs: Sabeeh_Iftikhar

  13:30:  Office Hr TAs: Max_Liu

  15:00:  Office Hr TAs: Brendan_Calalang

  16:30:  Office Hr TAs: Kevin_Flores


Schedule for Monday (3/10):

  12:00:  Office Hr TAs: Olivia_Byun

  13:30:  Office Hr TAs: Geneva_Cheng

  16:30:  Office Hr TAs: Arya_Prasad

  18:00:  Office Hr TAs: Nasir_Wynruit


Schedule for Tuesday (3/11):

  09:00:  Lab Leader(s): John_Cha, Yoda_Ermias
                Lab TAs: Paul_Hickey, Elisa_Yu
          Office Hr TAs: Brendan_Roy

  10:30:  Lab Leader(s): Eleanor_Elkus
                Lab TAs: Andersen_Prince
          Office Hr TAs: Olivia_Byun

  12:00:  Office Hr TAs: Andrea_Cabochan

  13:30:  Lab Leader(s): Kathy_Quintanilla
                Lab TAs: Charlotte_Versavel
          Office Hr TAs: Peter_Morganelli

  15:00:  Lab Leader(s): Alana_Sendlakowski, Anush_Parikh
                Lab TAs: Nahuel_Ruiz, Sabeeh_Iftikhar
          Office Hr TAs: Paul_Hickey

  16:30:  Lab Leader(s): Liam_Smith
                Lab TAs: Claire_Zhang
          Office Hr TAs: Astha_Shah

  18:00:  Lab Leader(s): Lindsay_Ulrey
                Lab TAs: Dhruvii_Mehta
          Office Hr TAs: Eddy_Abban

  19:30:  Office Hr TAs: Nahom_Tsegaye


Schedule for Wednesday:  NO OFFICE HOURS ON 3/12


Schedule for Thursday:   NO OFFICE HOURS FROM 3/13 to 3/23


Schedule by TA

Alana_Sendlakowski  :T1500
Andersen_Prince     :T1030
Andrea_Cabochan     :T1200
Anush_Parikh        :T1500
Arya_Prasad         :M1630
Astha_Shah          :T1630
Brendan_Calalang    :U1500
Brendan_Roy         :T0900
Charlotte_Versavel  :T1330
Chiara_Martello     :F1030
Claire_Zhang        :T1630, F1200
Dhruvii_Mehta       :T1800
Eddy_Abban          :T1800
Eleanor_Elkus       :T1030
Elisa_Yu            :T0900
Geneva_Cheng        :M1330
John_Cha            :T0900
Kathy_Quintanilla   :T1330
Kevin_Flores        :U1630
Liam_Smith          :T1630
Lindsay_Ulrey       :T1800
Max_Liu             :U1330
Nahom_Tsegaye       :T1930
Nahuel_Ruiz         :T1500
Nasir_Wynruit       :M1800
Olivia_Byun         :M1200, T1030
Paul_Hickey         :T0900, T1500
Peter_Morganelli    :T1330
Sabeeh_Iftikhar     :T1500, U1200
Yoda_Ermias         :T0900
run code snippetVisit Manage Class to disable runnable code snippets×"
logistics,"Question: Hi everyone!
You guys have started learning about BSTs and AVL trees, and you'll be working with AVL trees in lab tomorrow, so I thought I'd share some tools I found really helpful when I took the course! There's some really great visualizations online to help break down insertion and removal from trees.
BST: https://www.cs.usfca.edu/~galles/visualization/BST.html 
AVL: https://www.cs.usfca.edu/~galles/visualization/AVLtree.html 
You can find additional visualizations at VisuAlgo that follow along with the code if you find that helpful. Really great tools to understand these concepts before the Midterm!
Eleanor"
logistics,"Question: For some reason, I think my Halligan account got un-synced to VSCode, because when I edit things in VSCode or make new files, it is not reflected in the terminal when I compile or run ls or cat, even though I'm command+s'ing.
I can navigate the terminal as though I'm looking at it from a few days ago; I can log in and cd into cs15 and run unit_test (which will run the tests written by yesterday) but anything afterwards doesn't register...
Is there a reason this could have happened out of the blue and is there a way to fix this? my sftp.json file still says my host is halligan and such, so I don't understand what the problem is or how to fix it...
  (The lab0 pdf on how to sync your account has been deleted/isnt accessible, so I'm not sure if the answer is there, but I figured I'd check here in case.)
Answer: Just as a note about the above response, vscode also saves version of your code for certain time intervals (like google docs edit history). It's under Timeline in the bottom left below the file section. So you should be able to rely on snapshot to save the remote version and timeline to save the local version."
logistics,"Question: homies I'm mega confused I'm trying to ctrl + s and save my work in VSCode so I can run tests on terminal and I am getting this error:
I changed my password today and had to ssh to another address but I just ssh'ed back and it's still not working. My code isn't compiling because it's flagging errors that I fixed; they don't currently exist in my file but I guess where there before I ssh'ed somewhere else. Anybody know how to fix??"
logistics,"Question: Hi everyone! Please do not sign up for more than one design checkoff slot. If you have, please remove your name from any extra slots. We have just enough slots for everyone, and it’s unfair to other students when one person occupies multiple slots.
Also, if you change your slot or find that you can’t attend, please be sure to remove your name so that others can take your place. Thank you!"
logistics,"Question: Hey all,
As mentioned in lecture last week, tomorrow's lecture (Wednesday, Feb. 26th) is a pre-recorded one. No need to show up in person—no one will be there.
Here is the link for the lecture recording (this is also posted on the course website): https://youtu.be/E1VZAn6xyro?si=cGvN9bVPyzWahRLz
Please make sure to watch this sometime prior to next week's lecture, as we will build on the material here.
Cheers,
Milod"
logistics,"Question: Hello, all! I wanted to let you know in advance that for my 6 pm shift tonight I will unfortunately have to leave a bit early (~6:45/6:50) to catch a meeting!"
logistics,"Question: Hi everyone! Here are a few scheduling announcements for this week:
Since we don't have classes on Monday (2/17), we are holding volunteer office hours. Below is the reduced schedule.
This Thursday (2/20) is a Tufts Monday, so we'll follow the regular Monday OH schedule (@15). Thanks!
Schedule for Monday:

  09:00:  Office Hr TAs: Sabeeh Iftikhar

  12:00:  Office Hr TAs: Claire_Zhang, Eliana_Longoria-Valenzuela

  16:30:  Office Hr TAs: Dhruvii_Mehta

  18:00:  Office Hr TAs: Nasir_Wynruit

  19:30:  Office Hr TAs: Nahom_Tsegaye"
logistics,"Question: Hi all,
I'll have to switch my 1-2pm office hours today to zoom. You can find me here: https://tufts.zoom.us/my/milod
Apologies for any inconvenience,
Milod"
logistics,"Question: Hi all! I've added eight more slots for today. Please sign up if you haven't already been checked off. If those slots fill, I may or may not be able to add more. I'll update this post if we do.
If you missed your design checkoff slot or could not sign up for one, come in during office hours and add yourself to the queue. A TA will help you once they are available. If you can, it helps to come earlier in the day when office hours are less busy. 
Also, if you signed up for a slot but can't make it anymore, please remove your name so your classmates can take your place. Thanks!"
logistics,"Question: Hi everyone!
With MetroSim, you'll be starting to work with stream types in a way that you haven't done in the last two homeworks yet, so here's some helpful resources that a student last semester put together.
Refer to this CS15 handout for interacting with files: https://www.cs.tufts.edu/comp/15/reference/ioHandout/fileInteraction/fileInteraction.html 
And this article has some more diagrams for a more visual approach: https://www.geeksforgeeks.org/file-handling-c-classes/ 
And for all assignments in this course, please do not use fstream!! Stick to any of the other ones, and refer to this diagram for how each of the stream types are related to each other:
Good luck on Metrosim!!"
logistics,"Question: Hi all, below are instructions on how to diff test with unit_tests:
Fun fact—you can diff using unit_tests! This might be pretty helpful for testing classes within the current assignment proj_metrosim. This is a completely optional process, and you only need to do it if you deem it necessary while testing.
Background
You can diff between two output streams, stdout and stderr, i.e. statements printed from cout and statements printed from cerr.
The splitting of output streams and individually diff-ing them is similar to the below series of commands, as seen in lab 3, but just in a unit_test. Instead of a reference implementation, however, there will be a text file. The unit_test will diff the text file and output stream of the test.
./evil gradebook.txt > my.stdout 2> my.stderr
./evil_reference gradebook.txt > ref.stdout 2> ref.stderr
diff my.stdout ref.stdout
diff my.stderr ref.stderr
run code snippetVisit Manage Class to disable runnable code snippets×
Setup
To make the reference files that the unit_test will diff off of, one needs to make a directory for each output stream in the same directory that unit_tests.h is in, i.e. mkdir stdout and mkdir stderr.
When you run unit_test, the framework will search for these folders, and diff based on the files in those directories.
After making the directories for each output stream, create a file that has the same name as the unit_test you want to make reference input for, e.g. if a test is named void foo_constructor(), then the file should be foo_constructor. You can do this with either a text editor on Halligan like nano or sync Remote->Local, and edit on VS Code. Note: Make sure the file is in the right folder, i.e. if you want to diff stdout, place it in the stdout directory.
Finally, run unit_test, like normal, and inspect the
test report for a column that says diff passed? for the result!"
logistics,"Question: Is it ever possible to read files in unit_test just like what we do in main?
Answer: You can definitely read in a hardcoded file in unit_test! You won't be able to give the file as a command line argument like you would when running a program that you made, but you can still do all of the other code that you might in main and just use some hardcoded file as opposed to arg[_]"
